,link_sp,product_info_id,group_product_name,product_code,product_name,short_description,product_info,specification_backup,non_vat_price_1,vat_price_1,commission_1
0,/opt/upload/kcs//input/mobile_images/2024/2/20/631/rp200-rmk.png,509181,đèn năng lượng mặt trời,smden000080,"đèn pha led năng lượng mặt trời suntek rp-200, công suất 200w","đèn năng lượng mặt trời cao cấp, hàng chính hãng. bảo hành toàn quốc bởi aiosmart","• sử dụng chiếu sáng như đèn sân vườn cho biệt thự, đèn đường, đèn chiếu, đèn cho các khu đất rộng, khu vườn, khu ao, vuông tôm, trong nhà, trang trại, xưởng sản xuất...

• đèn pha chống lóa năng lượng mặt trời suntek rp-200w có kiểu dáng thời trang, thiết kế hiện đại giúp bạn có thêm một vật dụng rất hữu ích.

• đèn sử dụng bóng đèn led nên ánh sáng cho màu sắc chân thật và có độ bền rất cao, khả năng chiếu sáng liên tục lên đến 10-12 giờ đồng hồ.

• đây sẽ là sản phẩm thiết yếu đối với mỗi gia đình, doanh nghiệp nhất là những nơi hay mất điện hoặc nhưng vị trí không thể hoặc khó để kéo nguồn điện.","• công suất định mức: 200w
• bảng điều khiển năng lượng mặt trời: polycrystal 6v/40w
• nhiệt độ làm việc:-20c ~ 65c
• nhiệt độ màu: 6500k
• chế độ điều khiển: tích hợp bộ cảm biến ánh sáng, tự động bật đèn khi trời tối, tắt đèn khi trời sáng + có điều khiển từ xa.
• lớp chống thấm nước: ip-67
• chống sét tvs
• thời gian chiếu sáng: 14-16h liên tục
• pin: 48.000mah lifepo4
• kích thước đèn: 35.8 x 9 x 29 cm
• kích thước tấm năng lượng mặt trời: 68 x 1.7 x 35cm
• cân nặng: 6.3kg",909700,1000670,9097
1,/opt/upload/kcs//input/mobile_images/2023/12/28/992/bộ lưu trữ  năng lượng mặt trời  suntek 12v_25ah.png,509177,đèn năng lượng mặt trời,smdmt000014,bộ lưu trữ năng lượng mặt trời suntek battery power 12v/25ah cho camera,"đèn năng lượng mặt trời cao cấp, hàng chính hãng. bảo hành toàn quốc bởi aiosmart","• bộ lưu trữ năng lượng mặt trời suntek battery power 12v/25ah cho camera là sản phẩm mang tính giải pháp, thường để lắp đặt ngoài trời nhờ tính tiện lợi không cần lắp đặt dây điện, có chỉ số ip chống bụi, chống nước cao.

• không chỉ giải quyết nhu cầu cấp thiết phục vụ an ninh, dân sinh mà còn có giá trị rất lớn trong việc giảm thiểu sử dụng năng lượng hóa thạch, giúp bảo vệ môi trường, chống biến đổi khí hậu.","• dung lượng: 25.000mah lifepo4(pin lithium sắt phốt phát 32700)
• sạc năng lượng mặt trời: 30a
• đồng hồ hiển thị dung lượng pin, điện áp pin
• 01 đầu ra 12v/10a dc
• 01 đầu ra 5v/2a
• chất liệu: nhựa abs chống nước
• màu sắc: trắng
• kích thước: 230x150x85mm (dxrxc)",3277000,3604700,32770
2,/opt/upload/kcs//input/mobile_images/2023/12/28/642/đèn năng lượng  mặt trời suntek da-03.png,509194,đèn năng lượng mặt trời,smden000094,"đèn đường năng lượng mặt trời suntek da-03, công suất 300w","đèn năng lượng mặt trời cao cấp, hàng chính hãng. bảo hành toàn quốc bởi aiosmart","• sử dụng chiếu sáng như đèn đường, đèn chiếu sáng công cộng, đèn khu công nghiệp, đèn liên huyện, đèn đường cho nông thông mới, nông thôn mới nâng cao, đèn cho các khu trang trại,…

• đèn tích hợp bộ cảm biến ánh sáng, tự động sáng đèn khi trời tối và tắt đèn khi trời sáng. chế độ sáng thông minh khi ít điện hoặc mưa liên tục sẽ giảm điện tiêu thụ về đêm khuya để tiết kiệm điện.

• đèn đường năng lượng mặt trời suntek da03 có kiểu dáng thời trang, thiết kế hiện đại. đèn sử dụng chip led nên ánh sáng cho màu sắc chân thật và có độ bền rất cao, khả năng chiếu sáng liên tục lên đến 18-20 giờ đồng hồ.

• đây sẽ là sản phẩm dành cho các dự án chiếu sáng công cộng, nông thôn mới, nông thôn mới nâng cao những vị trí không thể hoặc khó để kéo nguồn điện.","• công suất định mức: 300w
• chip: high quality brightest 5054 smd chip led
• quang thông: 3000 lumen
• nhiệt độ màu: 6500k
• chỉ số hoàn màu (cri): 70ra
• bảng điều khiển năng lượng mặt trời: polycrystal 6v/50w
• nhiệt độ làm việc:-20c ~ 65c
• chế độ điều khiển: tích hợp bộ cảm biến ánh sáng, tự động bật đèn khi trời tối, tắt đèn khi trời sang + có điều khiển từ xa.
• cấp bảo vệ: ip-67, ik-08
• chống sét tvs
• thời gian chiếu sáng: 18-20h liên tục
• pin: 3.2v/78.000mah lifepo4 32700(pwm solar charge controller with-up led driver, bms)
• kích thước đèn: 23 x 8.5 x 58cm(dxrxc)
• kích thước tấm năng lượng mặt trời: 67 x 1.7 x 45cm (dxrxc)",2137200,2350920,21372
3,/opt/upload/kcs//input/mobile_images/2024/2/17/133/bộ đèn năng lượng mặt trời suntek s500 plus.png,509195,đèn năng lượng mặt trời,smden000095,"đèn đường năng lượng mặt trời suntek s500 plus, công suất 500w","đèn năng lượng mặt trời cao cấp, hàng chính hãng. bảo hành toàn quốc bởi aiosmart","• sử dụng chiếu sáng như đèn đường, đèn chiếu sáng công cộng, đèn cho các khu công nghiệp, đèn cho các khu trang trại, đèn cho công viên, sân vườn,…

• đèn tích hợp bộ cảm biến ánh sáng, tự động sáng đèn khi trời tối và tắt đèn khi trời sáng. chế độ sáng thông minh khi ít điện hoặc mưa liên tục sẽ giảm điện tiêu thụ về đêm khuya để tiết kiệm điện.

• đèn đường năng lượng mặt trời suntek s500 có kiểu dáng thời trang, thiết kế hiện đại. đèn sử dụng chip led nên ánh sáng cho màu sắc chân thật và có độ bền rất cao, khả năng chiếu sáng liên tục lên đến 20-24 giờ đồng hồ.

• đây sẽ là sản phẩm dành cho các dự án chiếu sáng công cộng những vị trí không thể hoặc khó để kéo nguồn điện.","• công suất định mức: 500w
• chip led 5054
• quang thông: 3000lm
• cri: >70ra
• bảng điều khiển năng lượng mặt trời: polycrystal 6v/60w
• nhiệt độ làm việc:-20c ~ 65c
• chế độ điều khiển: tích hợp bộ cảm biến ánh sáng, tự động bật đèn khi trời tối, tắt đèn khi trời sáng + có điều khiển từ xa.
• lớp chống thấm nước: ip-66
• chống sét tvs
• thời gian chiếu sáng: 20-24h liên tục
• pin: 3.2v/72.000mah lifepo4
• kích thước đèn: 21 x 9 x 50cm(dxrxc)
• kích thước tấm năng lượng mặt trời: 63 x 67 x 2.5cm (dxrxc)
• cân nặng: 8.5kg (chưa trụ cần)",2575600,2833160,25756
4,/opt/upload/kcs//input/mobile_images/2024/2/20/491/rp100-rmk.png,509180,đèn năng lượng mặt trời,smden000079,"đèn pha led năng lượng mặt trời suntek rp-100, công suất 100w","đèn năng lượng mặt trời cao cấp, hàng chính hãng. bảo hành toàn quốc bởi aiosmart","• sử dụng chiếu sáng như đèn sân vườn cho biệt thự, đèn đường, đèn chiếu, đèn cho các khu đất rộng, khu vườn, khu ao, vuông tôm, trong nhà, hội trường, trang trại, xưởng sản xuất...

• đèn pha chống lóa năng lượng mặt trời suntek rp-100w có kiểu dáng thời trang, thiết kế hiện đại giúp bạn có thêm một vật dụng rất hữu ích.

• đèn sử dụng bóng đèn led nên ánh sáng cho màu sắc chân thật và có độ bền rất cao, khả năng chiếu sáng liên tục lên đến 10-12 giờ đồng hồ.

• đây sẽ là sản phẩm thiết yếu đối với mỗi gia đình, doanh nghiệp nhất là những nơi hay mất điện hoặc nhưng vị trí không thể hoặc khó để kéo nguồn điện.","• công suất định mức: 100w
• bảng điều khiển năng lượng mặt trời: polycrystal 25w
• nhiệt độ làm việc:-20c ~ 65c
• nhiệt độ màu: 6500k
• chế độ điều khiển: tích hợp bộ cảm biến ánh sáng, tự động bật đèn khi trời tối, tắt đèn khi trời sáng + có điều khiển từ xa.
• lớp chống thấm nước: ip-67
• chống sét tvs
• thời gian chiếu sáng: 14-16h liên tục
• pin: 36.000mah lifepo4
• kích thước đèn: 29 x 9 x 25.5 cm
• kích thước tấm năng lượng mặt trời: 35 x 1.7 x 53cm
• cân nặng: 4.8kg",756200,831820,7562
5,/opt/upload/kcs//input/mobile_images/2023/12/28/817/bộ lưu trữ  năng lượng mặt trời suntek 12v_25ah plus.png,509196,đèn năng lượng mặt trời,smden000096,bộ lưu trữ năng lượng mặt trời suntek 12v/25ah plus,"đèn năng lượng mặt trời cao cấp, hàng chính hãng. bảo hành toàn quốc bởi aiosmart","• bộ lưu trữ năng lượng mặt trời suntek là sản phẩm mang tính giải pháp, thường để lắp đặt ngoài trời nhờ tính tiện lợi không cần lắp đặt dây điện, có chỉ số ip chống bụi, chống nước cao.

• không chỉ giải quyết nhu cầu cấp thiết phục vụ an ninh, dân sinh mà còn có giá trị rất lớn trong việc giảm thiểu sử dụng năng lượng hóa thạch, giúp bảo vệ môi trường, chống biến đổi khí hậu.","• dung lượng: 25.000mah lifepo4 (pin lithium sắt phốt phát 32700).
• sạc năng lượng mặt trời: 30a.
• đồng hồ hiển thị dung lượng pin, điện áp pin.
• 01 đầu ra 12v/10a dc.
• 01 đầu ra 5v/2a.
• chất liệu: nhựa abs chống nước.
• màu sắc: trắng.
• kích thước: 230x150x85mm (dxrxc).",3605800,3966380,36058
6,/opt/upload/kcs//input/mobile_images/2023/12/28/498/đèn pha led chống loá năng lượng mặt trời suntek rl-100.png,509183,đèn năng lượng mặt trời,smden000082,"đèn pha led chống lóa năng lượng mặt trời suntek rl-100, công suất 100w","đèn năng lượng mặt trời cao cấp, hàng chính hãng. bảo hành toàn quốc bởi aiosmart","• sử dụng chiếu sáng như đèn sân vườn cho biệt thự, đèn chiếu, đèn cho các khu đất rộng, khu vườn, khu ao, vuông tôm, trong nhà...

• đèn tích hợp bộ cảm biến ánh sáng, tự động sáng đèn khi trời tối và tắt đèn khi trời sáng.

• chế độ sáng thông minh khi ít điện hoặc mưa liên tục sẽ giảm điện tiêu thụ về đêm khuya để tiết kiệm điện.","• công suất định mức: 100w
• bảng điều khiển năng lượng mặt trời: polycrystal 6/20w
• nhiệt độ làm việc:-20c ~ 65c
• nhiệt độ màu: 6500k
• chế độ điều khiển: tích hợp bộ cảm biến ánh sáng, tự động bật đèn khi trời tối, tắt đèn khi trời sang + có điều khiển từ xa.
• lớp chống thấm nước: ip-67
• chống sét tvs
• thời gian chiếu sáng: 10-12h liên tục
• pin: 30.000mah lifepo4
• kích thước đèn: 19 x 22.5 cm
• kích thước tấm năng lượng mặt trời: 35 x 1.7 x 45cm",800100,880110,8001
7,/opt/upload/kcs//input/mobile_images/2024/3/7/586/nồi cơm điện cao tần bluestone rcb-5991.png,509319,nồi cơm điện,m&enc100020,nồi cơm điện cao tần bluestone rcb-5991,"nồi cơm điện cao cấp, hàng chính hãng. bảo hành toàn quốc bởi aiosmart","nồi cơm điện tử cao tần bluestone rcb-5991 sở hữu thiết kế hiện đại, nhỏ gọn, thích hợp với nhiều kiểu không gian bếp khác nhau. sản phẩm có xám thanh lịch, tạo điểm nhấn hoàn hảo cho khu vực nấu nướng của gia đình bạn.
công nghệ nấu ih ( induction heating) trong nồi cơm điện cao tần, sử dụng cảm ứng từ bao quanh lòng nồi để làm nóng và nấu chín cơm. công nghệ này giúp cơm được nấu chín đều, dẻo và giữ trọn chất dinh dưỡng có trong hạt gạo.","công suất : 1200w dung tích : 1.5 lít công nghệ nấu ih 9 chế độ nấu cài đặt sẵn tiện dụng bảng điều khiển cảm ứng thông minh lòng nồi niêu, dày 1.8mm phủ lớp chống dính",3598200,3958020,35982
8,/opt/upload/kcs//input/mobile_images/2024/2/17/198/nồi áp suất bluestone pcb-5648.png,509323,nồi áp suất,m&eas100002,"nồi áp suất bluestone pcb-5648 4,5 lít 900w","nồi áp suất cao cấp, hàng chính hãng. bảo hành toàn quốc bởi aiosmart","• nồi áp suất dung tích 4.5 lít phù hợp với gia đình ít người.

• công suất 900w làm nóng nhanh, đun nấu nhanh chóng.

• lòng nồi làm bằng hợp kim nhôm chống dính, dễ vệ sinh.

• thân nồi bluestone bằng hợp kim nhôm phủ sơn tĩnh điện.

• bảng điều khiển cơ có màn hình hiển thị đơn giản, dễ sử dụng.

• tính năng giữ ấm tự động sau khi kết thúc chương trình nấu.

• van xả tự động, giảm áp đảm bảo an toàn cho người dùng.","• công suất: 900w
• dung tích: 4.5 lít
• chế độ nấu cài đặt sẵn: 13 chế độ
• chất liệu vỏ ngoài: hợp kim phủ sơn tĩnh điện
• chất liệu lòng nồi: lòng nồi hợp kim nhôm chống dính
• chức năng khác: nút ấn xả và van xả tự động, bảng điều khiển núm vặn, tính năng giữ ấm tự động sau khi kết thúc chương trình nấu
• khối lượng sản phẩm: 5kg
• màu sắc: vàng đồng
• nhà sản xuất: bluestone",1673600,1840960,16736
9,/opt/upload/kcs//input/mobile_images/2023/12/28/148/bàn ủi khô bluestone dib-3726.png,509295,bàn là,m&ebl100021,bàn ủi khô bluestone dib-3726 1300w,"bàn là cao cấp, hàng chính hãng. bảo hành toàn quốc bởi aiosmart","• bàn ủi bluestone có công suất lên tới 1300w giúp ủi đồ nhanh thẳng tiết kiệm thời gian.

• mặt đế bằng hợp kim nhôm, chống dính, giúp lướt nhanh và êm ái mà không làm hư hại bề mặt vải.

• bàn ủi với nhiều mức nhiệt phù hợp với chất liệu vải như lụa, len, vải tổng hợp,... bằng núm vặn dễ dàng và nhanh chóng. 

• đầu bàn ủi khô nhọn kèm rãnh cúc giúp ủi những vị trí khó ủi như: hàng cúc, cổ tay, cổ áo,...

• dây điện có thể xoay 360 độ hạn chế xoắn rối khi ủi.","• công suất: 1300w
• mặt đế: hợp kim nhôm
• chức năng: ủi khô
• tiện ích: có rãnh cúc tiện lợi; không xoắn dây (dây nguồn xoay 360 độ)
• kích thước: ngang 25 cm-cao 13 cm-sâu 11.2 cm
• khối lượng: 0.7 kg
• thương hiệu của: singapore",309100,340010,3091
10,/opt/upload/kcs//input/mobile_images/2023/12/28/713/lò vi sóng có nướng bluestone mob-7716.png,509345,lò vi sóng,m&elvs100002,lò vi sóng bluestone mob-7716 có nướng 20 lít,"lò vi sóng cao cấp, hàng chính hãng. bảo hành toàn quốc bởi aiosmart","• lò vi sóng có nướng bluestone mob-7716 20 lít với công suất lớn, hoạt động mạnh mẽ, khoang lò bằng thép không gỉ an toàn cho người dùng, có đèn báo sau khi nấu xong,... nhất định sẽ là một trợ thủ đắc lực cho mỗi gia đình trong công việc bếp núc.

• công suất vi sóng tối đa 1270w, nướng tới 1000w nấu nhanh, tiết kiệm điện.

• có dung tích 20 lít tiện lợi nấu nướng, bỏ vừa gà nguyên con 1 kg.

• lò vi sóng có 4 chức năng chính: nấu, nướng, hâm nóng, rã đông.

• chế độ: nướng, vi sóng, vi sóng kết hợp nướng.

• thiết kế gọn nhẹ, đẹp mắt tiết kiệm không gian.

• khoang lò bằng thép không gỉ an toàn sức khỏe.

• bảng điều khiển nút vặn, có tiếng việt dễ dàng sử dụng.

• khoang lò có đèn, giúp quá trình lấy thức ăn khỏi lò hoặc cho thức ăn vào lò thuận tiện hơn.

• hẹn giờ đến 35 phút tiện lợi.

• có cài đặt âm báo khi nấu xong.

• phụ kiện đi kèm: vòng xoay, đĩa xoay, giá nướng giúp bạn nấu ăn tiện lợi, linh hoạt hơn.","• loại lò: lò vi sóng có nướng
• dung tích: 20 lít
• công suất vi sóng: 1270w
• công suất nướng: 1000w
• chất liệu khoang lò: thép không gỉ
• thương hiệu của: singapore
• sản xuất tại: trung quốc
• năm ra mắt: 2020
• chức năng chính: rã đông, hâm, nấu, nướng
• chức năng khác: nướng kết hợp vi sóng
• ngôn ngữ: tiếng việt
• bảng điều khiển: nút vặn
• tiện ích: chuông báo khi nấu xong
• hẹn giờ: lên tới 35 phút
• khoang lò: có đèn
• kích thước, khối lượng: ngang 43 cm-cao 25.7 cm-sâu 32.7 cm-nặng 12.5 kg
• kích thước khoang lò: ngang 27.5 cm-cao 17.5 cm-sâu 29.1 cm",1924600,2117060,19246
